player_uid,season,gameweek,model_name,pre_deadline_population,expected_points,points_std,points_p10,points_p25,points_p50,points_p75,points_p90,prob_points_eq_0,prob_points_ge_1,prob_points_ge_5,prob_points_ge_10,simulated_expected_points,expected_points_unconditional,raw_expected_points_given_appearance,expected_points_given_appearance,simulation_draw_count,conditional_estimate_source,conditional_coherence_error,fixture_count,opponent_display,opponent_short_names,opponent_official_names,opponent_team_uids,home_away_sequence,kickoff_times,player_name,player_team_uid,fpl_position,price_tenths,status,news,cold_start_no_history,fallback_flag,lineage_note,minutes_variant,expected_minutes,p_appearance,p_start,selected_role,bench_order
player_code_17761,2026-27,5,X2_TEAM_CONSTRAINED_SIM_M7,pre_deadline_history_active,3.5506279508915997,2.8306679847696725,1.0,1.0,2.0,6.0,7.0,0.077,0.9207,0.3912,0.0273,3.5626,3.5506279508915997,3.6861798657078757,3.6861798657078757,10000,analytic_gameweek_sum_divided_by_any_fixture_appearance_probability,0.0,1,IPS (H),IPS,Ipswich Town,team_ipswich,H,2026-09-19 14:00:00+00:00,Tarkowski,team_everton,DEF,61,a,,False,False,returning_player,M7,79.36521095969074,0.9632269938650307,0.8986147239263803,starter,
player_code_465642,2026-27,5,X2_TEAM_CONSTRAINED_SIM_M7,pre_deadline_history_active,3.347231958948387,2.9080739949320407,0.0,1.0,2.0,6.0,7.0,0.1256,0.8669,0.3146,0.0251,3.3242,3.347231958948387,3.6420547882750656,3.6420547882750656,10000,analytic_gameweek_sum_divided_by_any_fixture_appearance_probability,0.0,1,HUL (H),HUL,Hull City,team_hull_city,H,2026-09-19 14:00:00+00:00,Thiaw,team_newcastle,DEF,50,a,,False,False,returning_player,M7,76.6103555042423,0.919050413443585,0.8821381701787143,squad,2.0
player_code_21205,2026-27,5,X2_TEAM_CONSTRAINED_SIM_M7,pre_deadline_history_active,0.007508138143565924,0.15122007141910762,0.0,0.0,0.0,0.0,0.0,0.998,0.002,0.0004,0.0,0.0057,0.007508138143565924,3.061069349997178,3.061069349997178,10000,analytic_gameweek_sum_divided_by_any_fixture_appearance_probability,0.0,1,FUL (A),FUL,Fulham,team_fulham,A,2026-09-20 15:30:00+00:00,Heaton,team_manchester_united,GKP,40,i,Hamstring injury - Unknown return date,False,False,returning_player,M7,0.18546363616175487,0.002452782764811534,0.002006822262118492,squad,1.0
player_code_222531,2026-27,5,X2_TEAM_CONSTRAINED_SIM_M7,pre_deadline_history_active,4.477481882851308,3.204682673838394,1.0,2.0,3.0,6.0,9.0,0.0477,0.9505,0.3795,0.0727,4.4336,4.477481882851308,4.6719224476912675,4.6719224476912675,10000,analytic_gameweek_sum_divided_by_any_fixture_appearance_probability,0.0,1,COV (H),COV,Coventry City,team_coventry_city,H,2026-09-19 16:30:00+00:00,Gibbs-White,team_nottingham_forest,MID,80,a,,False,False,returning_player,M7,75.55440842170151,0.958381037567084,0.8745796064400717,vice_captain,
player_code_223094,2026-27,5,X2_TEAM_CONSTRAINED_SIM_M7,pre_deadline_history_active,5.634946126341509,4.105048831621859,0.0,3.0,5.0,7.0,11.0,0.1363,0.8635,0.5076,0.1851,5.4153,5.634946126341509,6.523640010214846,6.523640010214846,10000,analytic_gameweek_sum_divided_by_any_fixture_appearance_probability,0.0,1,SUN (H),SUN,Sunderland,team_sunderland,H,2026-09-20 13:00:00+00:00,Haaland,team_manchester_city,FWD,155,a,,False,False,returning_player,M7,68.15234464701275,0.8637733102253032,0.7883417677642981,captain,
player_code_242898,2026-27,5,X2_TEAM_CONSTRAINED_SIM_M7,pre_deadline_history_active,4.014296165444458,3.355247347066979,0.0,2.0,3.0,6.0,8.0,0.1142,0.8845,0.3394,0.0669,3.9218,4.014296165444458,4.462902493533743,4.462902493533743,10000,analytic_gameweek_sum_divided_by_any_fixture_appearance_probability,0.0,1,IPS (H),IPS,Ipswich Town,team_ipswich,H,2026-09-19 14:00:00+00:00,Johnson,team_everton,MID,59,a,,False,False,transferred_player,M7,60.560328283952614,0.8994810375670841,0.5572129397734049,starter,
player_code_244851,2026-27,5,X2_TEAM_CONSTRAINED_SIM_M7,pre_deadline_history_active,4.224129045209579,3.8888012291707583,0.0,2.0,3.0,7.0,9.0,0.2047,0.7946,0.352,0.0916,4.165,4.224129045209579,5.244882668171499,5.244882668171499,10000,analytic_gameweek_sum_divided_by_any_fixture_appearance_probability,0.0,1,BRE (A),BRE,Brentford,team_brentford,A,2026-09-18 19:00:00+00:00,Palmer,team_chelsea,MID,97,a,,False,False,returning_player,M7,61.08710309939794,0.8053810375670841,0.7125796064400716,starter,
player_code_247348,2026-27,5,X2_TEAM_CONSTRAINED_SIM_M7,pre_deadline_history_active,3.691304783134315,3.425461136839827,0.0,1.0,2.0,6.0,8.0,0.2044,0.7941,0.4196,0.0562,3.704,3.691304783134315,4.4478546654078706,4.4478546654078706,10000,analytic_gameweek_sum_divided_by_any_fixture_appearance_probability,0.0,1,COV (H),COV,Coventry City,team_coventry_city,H,2026-09-19 16:30:00+00:00,Muñoz,team_nottingham_forest,DEF,54,a,,False,False,transferred_player,M7,67.55446664732935,0.8299067889611047,0.7511573184312295,starter,
player_code_446008,2026-27,5,X2_TEAM_CONSTRAINED_SIM_M7,pre_deadline_history_active,3.9326026636698654,3.049152982387076,1.0,2.0,3.0,6.0,8.0,0.0959,0.9039,0.2958,0.0488,3.8897,3.9326026636698654,4.326861823629588,4.326861823629588,10000,analytic_gameweek_sum_divided_by_any_fixture_appearance_probability,0.0,1,FUL (A),FUL,Fulham,team_fulham,A,2026-09-20 15:30:00+00:00,Mbeumo,team_manchester_united,MID,79,a,,False,False,returning_player,M7,71.03852629830963,0.9088810375670842,0.8115796064400715,starter,
player_code_466052,2026-27,5,X2_TEAM_CONSTRAINED_SIM_M7,pre_deadline_history_active,4.229162254581755,3.233613457109554,0.0,2.0,3.0,6.0,9.0,0.1183,0.8812,0.3755,0.0708,4.2201,4.229162254581755,4.770398613401112,4.770398613401112,10000,analytic_gameweek_sum_divided_by_any_fixture_appearance_probability,0.0,1,SUN (H),SUN,Sunderland,team_sunderland,H,2026-09-20 13:00:00+00:00,Cherki,team_manchester_city,MID,78,a,,False,False,returning_player,M7,58.79527816912654,0.8865427393637707,0.569216022400249,starter,
player_code_477424,2026-27,5,X2_TEAM_CONSTRAINED_SIM_M7,pre_deadline_history_active,3.8469873436053206,3.450677330612064,0.0,1.0,3.0,6.0,8.0,0.2061,0.7932,0.4236,0.0559,3.8314,3.8469873436053206,4.783429103488998,4.783429103488998,10000,analytic_gameweek_sum_divided_by_any_fixture_appearance_probability,0.0,1,SUN (H),SUN,Sunderland,team_sunderland,H,2026-09-20 13:00:00+00:00,Gvardiol,team_manchester_city,DEF,57,a,,False,False,returning_player,M7,65.76118360890528,0.8042321231016796,0.7362094740018102,starter,
player_code_183015,2026-27,5,X2_TEAM_CONSTRAINED_SIM_M7,pre_deadline_history_active,0.2542039316238976,0.993722295211293,0.0,0.0,0.0,0.0,1.0,0.888,0.109,0.0195,0.0005,0.254,0.2542039316238976,2.022464471248092,2.022464471248092,10000,analytic_gameweek_sum_divided_by_any_fixture_appearance_probability,0.0,1,EVE (A),EVE,Everton,team_everton,A,2026-09-19 14:00:00+00:00,Kipré,team_ipswich,DEF,39,a,,False,False,current_season_history_only,M7,9.271810258031005,0.12569018404907983,0.10105828220858898,squad,4.0
player_code_557012,2026-27,5,X2_TEAM_CONSTRAINED_SIM_M7,pre_deadline_history_active,0.7164436123792768,1.518915876538263,0.0,0.0,0.0,1.0,2.0,0.7452,0.2537,0.045,0.0034,0.6884,0.7164436123792768,2.6858743962598255,2.6858743962598255,10000,analytic_gameweek_sum_divided_by_any_fixture_appearance_probability,0.0,1,EVE (A),EVE,Everton,team_everton,A,2026-09-19 14:00:00+00:00,Walle Egeli,team_ipswich,FWD,45,a,,False,False,current_season_history_only,M7,14.412854471225394,0.2667450173310225,0.07244367417677644,squad,3.0
player_code_586309,2026-27,5,X2_TEAM_CONSTRAINED_SIM_M7,pre_deadline_history_active,3.914423260070835,2.9466620963388386,1.0,2.0,3.0,6.0,7.0,0.044,0.9554,0.37,0.0682,3.8693,3.914423260070835,4.052952321406841,4.052952321406841,10000,analytic_gameweek_sum_divided_by_any_fixture_appearance_probability,0.0,1,IPS (H),IPS,Ipswich Town,team_ipswich,H,2026-09-19 14:00:00+00:00,Barry,team_everton,FWD,56,a,,False,False,returning_player,M7,65.6651893408556,0.9658202094793159,0.6877974530932107,starter,
player_code_85633,2026-27,5,X2_TEAM_CONSTRAINED_SIM_M7,pre_deadline_history_active,3.9462127246141936,2.612877371787662,1.0,2.0,3.0,6.0,7.0,0.0866,0.9127,0.4063,0.0082,3.9428,3.9462127246141936,4.252680585864849,4.252680585864849,10000,analytic_gameweek_sum_divided_by_any_fixture_appearance_probability,0.0,1,COV (H),COV,Coventry City,team_coventry_city,H,2026-09-19 16:30:00+00:00,Sels,team_nottingham_forest,GKP,50,a,,False,False,returning_player,M7,80.9488180268304,0.927935368043088,0.920735368043088,starter,
