gameweek,player_uid,player_name,team,position,price,mean_xp,role,bench_order
1,code:10054,DOR MID2,DOR,MID,90,4.752,captain,0
1,code:10024,BIR MID2,BIR,MID,88,4.266,starter,0
1,code:10025,BIR MID3,BIR,MID,75,3.952,starter,0
1,code:10056,DOR MID4,DOR,MID,64,3.84,starter,0
1,code:10029,BIR FWD2,BIR,FWD,74,3.586,starter,0
1,code:10014,ALB FWD2,ALB,FWD,73,3.552,starter,0
1,code:10040,COV MID3,COV,MID,76,3.486,starter,0
1,code:10076,FAL GKP1,FAL,GKP,60,3.202,starter,0
1,code:10051,DOR DEF4,DOR,DEF,53,3.118,starter,0
1,code:10081,FAL DEF4,FAL,DEF,55,2.906,starter,0
1,code:10080,FAL DEF3,FAL,DEF,63,3.218,vice_captain,0
1,code:10074,EXE FWD2,EXE,FWD,77,3.154,bench,1
1,code:10001,ALB GKP1,ALB,GKP,55,3.052,bench,2
1,code:10036,COV DEF4,COV,DEF,52,1.656,bench,3
1,code:10007,ALB DEF5,ALB,DEF,42,0.976,bench,4
2,code:10024,BIR MID2,BIR,MID,88,5.354,captain,0
2,code:10025,BIR MID3,BIR,MID,75,4.38,starter,0
2,code:10054,DOR MID2,DOR,MID,90,4.188,starter,0
2,code:10080,FAL DEF3,FAL,DEF,63,4.112,starter,0
2,code:10029,BIR FWD2,BIR,FWD,74,4.018,starter,0
2,code:10040,COV MID3,COV,MID,76,3.948,starter,0
2,code:10076,FAL GKP1,FAL,GKP,60,3.786,starter,0
2,code:10014,ALB FWD2,ALB,FWD,73,3.434,starter,0
2,code:10056,DOR MID4,DOR,MID,64,3.344,starter,0
2,code:10036,COV DEF4,COV,DEF,52,2.69,starter,0
2,code:10081,FAL DEF4,FAL,DEF,55,3.848,vice_captain,0
2,code:10074,EXE FWD2,EXE,FWD,77,2.924,bench,1
2,code:10001,ALB GKP1,ALB,GKP,55,2.452,bench,2
2,code:10007,ALB DEF5,ALB,DEF,42,0.96,bench,3
2,code:10051,DOR DEF4,DOR,DEF,53,0.952,bench,4
3,code:10054,DOR MID2,DOR,MID,90,4.934,captain,0
3,code:10025,BIR MID3,BIR,MID,75,4.266,starter,0
3,code:10056,DOR MID4,DOR,MID,64,4.226,starter,0
3,code:10029,BIR FWD2,BIR,FWD,74,3.888,starter,0
3,code:10014,ALB FWD2,ALB,FWD,73,3.574,starter,0
3,code:10040,COV MID3,COV,MID,76,3.406,starter,0
3,code:10051,DOR DEF4,DOR,DEF,53,3.388,starter,0
3,code:10074,EXE FWD2,EXE,FWD,77,3.314,starter,0
3,code:10076,FAL GKP1,FAL,GKP,60,3.214,starter,0
3,code:10081,FAL DEF4,FAL,DEF,55,2.824,starter,0
3,code:10080,FAL DEF3,FAL,DEF,63,3.32,vice_captain,0
3,code:10001,ALB GKP1,ALB,GKP,55,3.082,bench,1
3,code:10036,COV DEF4,COV,DEF,52,1.884,bench,2
3,code:10007,ALB DEF5,ALB,DEF,42,1.206,bench,3
3,code:10024,BIR MID2,BIR,MID,88,0.006,bench,4
4,code:10024,BIR MID2,BIR,MID,88,5.072,captain,0
4,code:10025,BIR MID3,BIR,MID,75,4.85,starter,0
4,code:10029,BIR FWD2,BIR,FWD,74,4.334,starter,0
4,code:10080,FAL DEF3,FAL,DEF,63,4.284,starter,0
4,code:10040,COV MID3,COV,MID,76,4.08,starter,0
4,code:10076,FAL GKP1,FAL,GKP,60,3.978,starter,0
4,code:10054,DOR MID2,DOR,MID,90,3.778,starter,0
4,code:10056,DOR MID4,DOR,MID,64,3.538,starter,0
4,code:10014,ALB FWD2,ALB,FWD,73,3.052,starter,0
4,code:10051,DOR DEF4,DOR,DEF,53,2.608,starter,0
4,code:10081,FAL DEF4,FAL,DEF,55,3.728,vice_captain,0
4,code:10074,EXE FWD2,EXE,FWD,77,2.784,bench,1
4,code:10036,COV DEF4,COV,DEF,52,2.546,bench,2
4,code:10001,ALB GKP1,ALB,GKP,55,2.3,bench,3
4,code:10007,ALB DEF5,ALB,DEF,42,0.832,bench,4
