table,column,parquet_type,description,distribution
fact_player_fixture,player_id,int64,Season-specific source FPL element ID,schema only; row-level data excluded
fact_player_fixture,player_code,int64,Source FPL cross-season player code,schema only; row-level data excluded
fact_player_fixture,fixture_id,int64,Season-specific source fixture ID,schema only; row-level data excluded
fact_player_fixture,gameweek,int64,Official FPL event number,schema only; row-level data excluded
fact_player_fixture,player_name,large_string,Source display name,schema only; row-level data excluded
fact_player_fixture,team_name,string,Source team display name,schema only; row-level data excluded
fact_player_fixture,source_position,large_string,Source position label,schema only; row-level data excluded
fact_player_fixture,element_type,int64,Source FPL element type,schema only; row-level data excluded
fact_player_fixture,fpl_position,large_string,Normalized FPL position including AM,schema only; row-level data excluded
fact_player_fixture,kickoff_time,"timestamp[us, tz=UTC]",Scheduled kickoff timestamp in UTC,schema only; row-level data excluded
fact_player_fixture,minutes,int64,Minutes credited in fixture,schema only; row-level data excluded
fact_player_fixture,total_points,int64,Source FPL points for fixture,schema only; row-level data excluded
fact_player_fixture,price_tenths,int64,Price in tenths of a million pounds,schema only; row-level data excluded
fact_player_fixture,was_home,bool,Whether entity team was home,schema only; row-level data excluded
fact_player_fixture,opponent_team,int64,Season-specific source opponent team ID,schema only; row-level data excluded
fact_player_fixture,assists,int64,Credited assists,schema only; row-level data excluded
fact_player_fixture,bonus,int64,FPL bonus points,schema only; row-level data excluded
fact_player_fixture,bps,int64,FPL bonus-points-system score,schema only; row-level data excluded
fact_player_fixture,clean_sheets,int64,Credited clean-sheet count,schema only; row-level data excluded
fact_player_fixture,goals_conceded,int64,Credited goals conceded,schema only; row-level data excluded
fact_player_fixture,goals_scored,int64,Credited goals scored,schema only; row-level data excluded
fact_player_fixture,own_goals,int64,Credited own goals,schema only; row-level data excluded
fact_player_fixture,penalties_missed,int64,Missed penalty count,schema only; row-level data excluded
fact_player_fixture,penalties_saved,int64,Saved penalty count,schema only; row-level data excluded
fact_player_fixture,red_cards,int64,Red card count,schema only; row-level data excluded
fact_player_fixture,saves,int64,Goalkeeper save count,schema only; row-level data excluded
fact_player_fixture,starts,int64,Source start indicator/count,schema only; row-level data excluded
fact_player_fixture,team_a_score,int64,Away team final goals,schema only; row-level data excluded
fact_player_fixture,team_h_score,int64,Home team final goals,schema only; row-level data excluded
fact_player_fixture,yellow_cards,int64,Yellow card count,schema only; row-level data excluded
fact_player_fixture,expected_goals,double,Source expected-goals statistic,schema only; row-level data excluded
fact_player_fixture,expected_assists,double,Source expected-assists statistic,schema only; row-level data excluded
fact_player_fixture,expected_goal_involvements,double,Source expected-goal-involvement statistic,schema only; row-level data excluded
