bin,rows,mean_prediction,observed_rate,model,bin_lower,bin_upper
0,1516,0.0269211741425,0.0560686015831,old_80_draw_m7,0,0.1
1,288,0.148871527778,0.194444444444,old_80_draw_m7,0.1,0.2
2,120,0.246770833333,0.241666666667,old_80_draw_m7,0.2,0.3
3,30,0.347916666667,0.566666666667,old_80_draw_m7,0.3,0.4
4,6,0.452083333333,0.333333333333,old_80_draw_m7,0.4,0.5
5,3,0.529166666667,0.666666666667,old_80_draw_m7,0.5,0.6
6,1,0.6125,1,old_80_draw_m7,0.6,0.7
0,1300,0.0468401538462,0.0369230769231,hybrid_10000,0,0.1
1,402,0.146371890547,0.1592039801,hybrid_10000,0.1,0.2
2,198,0.244123232323,0.262626262626,hybrid_10000,0.2,0.3
3,44,0.341529545455,0.340909090909,hybrid_10000,0.3,0.4
4,17,0.445911764706,0.588235294118,hybrid_10000,0.4,0.5
5,3,0.523366666667,1,hybrid_10000,0.5,0.6
