comparison_block,source_run_id,model,simulator,seasons,mode,population,grain,rows,folds,mae,rmse,bias,spearman,p5_brier,central_80_coverage
rolling_legacy_80,phase9b12_xpoints_rolling_goalkeeper_corrected_exact,X0_PHASE3_B5_EB_POINTS_PER90,phase9b12_component_sim_v2,"2023-24,2024-25,2025-26",rolling,all_observed_players,player_gameweek,86755,114,0.982802143969,2.03712588006,-0.118436977696,0.661153592397,0.0897469886462,0.58445046395
rolling_legacy_80,phase9b12_xpoints_rolling_goalkeeper_corrected_exact,X1_INDEPENDENT_COMPONENT_RATES_M3,phase9b12_component_sim_v2,"2023-24,2024-25,2025-26",rolling,all_observed_players,player_gameweek,86755,114,0.909428419111,1.96411637986,-0.233063368106,0.717041094602,0.0661656928995,0.880410350988
rolling_legacy_80,phase9b12_xpoints_rolling_goalkeeper_corrected_exact,X2_TEAM_CONSTRAINED_SIM_M3,phase9b12_component_sim_v2,"2023-24,2024-25,2025-26",rolling,all_observed_players,player_gameweek,86755,114,0.906877269322,1.95820933902,-0.229035934528,0.718072760022,0.0657397862515,0.880099129733
rolling_legacy_80,phase9b12_xpoints_rolling_goalkeeper_corrected_exact,X2_TEAM_CONSTRAINED_SIM_M5,phase9b12_component_sim_v2,"2023-24,2024-25,2025-26",rolling,all_observed_players,player_gameweek,86755,114,0.961352659789,1.9533273229,-0.160993890842,0.683816760584,0.0661852360815,0.907440493343
rolling_legacy_80,phase9b12_xpoints_rolling_goalkeeper_corrected_exact,X2_TEAM_CONSTRAINED_SIM_M7,phase9b12_component_sim_v2,"2023-24,2024-25,2025-26",rolling,all_observed_players,player_gameweek,86755,114,1.10867183448,2.01449152109,-0.0242187770157,0.61648930791,0.0676303329059,0.894922482854
historical_gw1_legacy_80,phase9b12_xpoints_gw1_goalkeeper_corrected_exact,X0_PHASE3_B5_EB_POINTS_PER90,phase9b12_component_sim_v2,"2023-24,2024-25,2025-26",gw1,all_observed_players,player_gameweek,1964,3,1.32230142566,2.70070142507,-1.31313645621,,0.0977596741344,0.563136456212
historical_gw1_legacy_80,phase9b12_xpoints_gw1_goalkeeper_corrected_exact,X1_INDEPENDENT_COMPONENT_RATES_M3,phase9b12_component_sim_v2,"2023-24,2024-25,2025-26",gw1,all_observed_players,player_gameweek,1964,3,1.25058553971,2.3009202561,-0.335310590631,0.445450975027,0.0846496308554,0.780040733198
historical_gw1_legacy_80,phase9b12_xpoints_gw1_goalkeeper_corrected_exact,X2_TEAM_CONSTRAINED_SIM_M3,phase9b12_component_sim_v2,"2023-24,2024-25,2025-26",gw1,all_observed_players,player_gameweek,1964,3,1.25467795316,2.30799433424,-0.326457484725,0.449721106696,0.0844375318228,0.780549898167
historical_gw1_legacy_80,phase9b12_xpoints_gw1_goalkeeper_corrected_exact,X2_TEAM_CONSTRAINED_SIM_M5,phase9b12_component_sim_v2,"2023-24,2024-25,2025-26",gw1,all_observed_players,player_gameweek,1964,3,1.25171843177,2.20918402337,-0.284941446029,0.461311420672,0.0831145780295,0.869144602851
historical_gw1_legacy_80,phase9b12_xpoints_gw1_goalkeeper_corrected_exact,X2_TEAM_CONSTRAINED_SIM_M7,phase9b12_component_sim_v2,"2023-24,2024-25,2025-26",gw1,all_observed_players,player_gameweek,1964,3,1.30321410387,2.14636044177,-0.0995863034623,0.489519083103,0.0805090058554,0.881873727088
historical_gw1_promoted_hybrid,preseason_sim_hybrid_10000_gw1_three_fold_goalkeeper_corrected_clean_034830b041c1,X2_TEAM_CONSTRAINED_SIM_M7,preseason_hybrid_fixture_v1,"2023-24,2024-25,2025-26",gw1,all_observed_players,player_gameweek,1964,3,1.37259049664,2.12962168829,0.0842231507514,0.493698946119,0.0775524171487,0.90784114053
