record_type,rank,player,team,position,price_tenths,expected_points,appearance_probability,run_id,forecast_timestamp,official_retrieval_timestamp,projection_rows,players,fixtures,team_model,minutes_model,xpoints_model,simulator_version,draw_count,optimizer,formation,captain,vice_captain,expected_realized_value,solver_status,total_cost_tenths,bank_tenths,recommended_squad,label
snapshot_summary,,,,,,,,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1,2026-08-13T19:04:54.106127Z,2026-07-24T02:28:29.719602Z,554,554,10,T2_REGULARIZED_ATTACK_DEFENCE,M7_HIERARCHICAL_AVAILABILITY_STATE,X2_TEAM_CONSTRAINED_SIM_M7,preseason_hybrid_fixture_v1,10000,D2_EXPECTED_REALIZED_POINTS,3-5-2,Saka,B.Fernandes,55.51614157810968,heuristic_feasible,1000,0,Saka; Dubravka; Igor Jesus; Hume; O'Shea; Cunha; Destan; Eze; Gabriel; Mbeumo; Mukiele; Pickford; Tarkowski; Watkins; B.Fernandes,"Prospective example, not an accuracy result"
top15_expected_points,1,B.Fernandes,team_manchester_united,MID,120,5.127670379378043,0.946654358974359,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1,,,,,,,,,,,,,,,,,,,,"Prospective example, not an accuracy result"
top15_expected_points,2,Watkins,team_aston_villa,FWD,80,5.055000164377597,0.976,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1,,,,,,,,,,,,,,,,,,,,"Prospective example, not an accuracy result"
top15_expected_points,3,Saka,team_arsenal,MID,95,4.838525962818309,0.8129723076923077,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1,,,,,,,,,,,,,,,,,,,,"Prospective example, not an accuracy result"
top15_expected_points,4,Haaland,team_manchester_city,FWD,155,4.702534176535761,0.7594051282051283,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1,,,,,,,,,,,,,,,,,,,,"Prospective example, not an accuracy result"
top15_expected_points,5,Mbeumo,team_manchester_united,MID,80,4.673642995692962,0.9051158974358976,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1,,,,,,,,,,,,,,,,,,,,"Prospective example, not an accuracy result"
top15_expected_points,6,Eze,team_arsenal,MID,65,4.185762073543522,0.8958851282051282,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1,,,,,,,,,,,,,,,,,,,,"Prospective example, not an accuracy result"
top15_expected_points,7,Gabriel,team_arsenal,DEF,80,4.136636962158166,0.9055920644761316,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1,,,,,,,,,,,,,,,,,,,,"Prospective example, not an accuracy result"
top15_expected_points,8,Cunha,team_manchester_united,MID,80,4.1355530236776366,0.7776849880095922,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1,,,,,,,,,,,,,,,,,,,,"Prospective example, not an accuracy result"
top15_expected_points,9,Raya,team_arsenal,GKP,60,3.995561267874412,0.8840675821001643,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1,,,,,,,,,,,,,,,,,,,,"Prospective example, not an accuracy result"
top15_expected_points,10,Gakpo,team_liverpool,MID,70,3.914220911690779,0.9405577142857144,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1,,,,,,,,,,,,,,,,,,,,"Prospective example, not an accuracy result"
top15_expected_points,11,Pickford,team_everton,GKP,55,3.902561891993577,0.9808265564591389,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1,,,,,,,,,,,,,,,,,,,,"Prospective example, not an accuracy result"
top15_expected_points,12,Semenyo,team_manchester_city,MID,85,3.877030730841831,0.9123388235294118,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1,,,,,,,,,,,,,,,,,,,,"Prospective example, not an accuracy result"
top15_expected_points,13,Mukiele,team_sunderland,DEF,55,3.788935678138796,0.8690820014213781,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1,,,,,,,,,,,,,,,,,,,,"Prospective example, not an accuracy result"
top15_expected_points,14,Gibbs-White,team_nottingham_forest,MID,80,3.770997206669972,0.8868184615384616,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1,,,,,,,,,,,,,,,,,,,,"Prospective example, not an accuracy result"
top15_expected_points,15,Rice,team_arsenal,MID,75,3.753306791376094,0.8914338461538461,preseason_sim_hybrid_10000_goalkeeper_corrected_validation_clean_034830b041c1,,,,,,,,,,,,,,,,,,,,"Prospective example, not an accuracy result"
